จบจากโรงเรียน,Central,East,North,Northeast,South,western
ภูซางวิทยาคม,0,0,1,0,0,0
ภูซางใหญ่วิทยาคม,0,0,0,1,0,0
ภูเก็ตวิทยาลัย,0,0,0,0,1,0
ภูเขียว,0,0,0,1,0,0
ภูเวียงวิทยาคม,0,0,0,1,0,0
มกุฎเมืองราชวิทยาลัย,0,1,0,0,0,0
มวกเหล็กวิทยา,1,0,0,0,0,0
มหรรณพาราม,1,0,0,0,0,0
มหิศราธิบดี,0,0,0,1,0,0
มักกะสันพิทยา,1,0,0,0,0,0
มัญจาศึกษา,0,0,0,1,0,0
มัธยมฐานบินกำแพงแสน,1,0,0,0,0,0
มัธยมด่านขุนทด,0,0,0,1,0,0
มัธยมตระการพืชผล,0,0,0,1,0,0
มัธยมบักดองวิทยา,0,0,0,1,0,0
มัธยมวชิราลงกรณวราราม,0,0,0,1,0,0
มัธยมวัดดุสิตาราม,1,0,0,0,0,0
มัธยมวัดธาตุทอง,1,0,0,0,0,0
มัธยมวัดนายโรง,1,0,0,0,0,0
มัธยมวัดบึงทองหลาง,1,0,0,0,0,0
มัธยมวัดมกุฏกษัตริย์,1,0,0,0,0,0
มัธยมวัดสิงห์,1,0,0,0,0,0
มัธยมวัดหนองจอก,1,0,0,0,0,0
มัธยมวัดหนองแขม,1,0,0,0,0,0
มัธยมวัดเบญจมบพิตร,1,0,0,0,0,0
มาบตาพุดพันพิทยาคาร,0,1,0,0,0,0
มาบอำมฤตวิทยา,0,0,0,0,1,0
มุกดาหาร,0,0,0,1,0,0
ม่วงไข่พิทยาคม,0,0,1,0,0,0
ยางชุมน้อยพิทยาคม,0,0,0,1,0,0
ยางรากวิทยา,1,0,0,0,0,0
ยานนาเวศวิทยาคม,1,0,0,0,0,0
ยุพราชวิทยาลัย,0,0,1,0,0,0
ยโสธรพิทยาคม,0,0,0,1,0,0
ระยองวิทยาคม,0,1,0,0,0,0
รัตนบุรี,0,0,0,1,0,0
รัตนราษฎร์บำรุง,0,0,0,0,0,1
รัตนาธิเบศร์,1,0,0,0,0,0
รัตนโกสินทร์สมโภชบางขุนเทียน,1,0,0,0,0,0
รัตนโกสินทร์สมโภชบางเขน,1,0,0,0,0,0
รัตนโกสินทร์สมโภชลาดกระบัง,1,0,0,0,0,0
ราชดำริ,1,0,0,0,0,0
ราชนันทาจารย์สามเสนวิทยาลัย2,1,0,0,0,0,0
ราชวินิตนนทบุรี,1,0,0,0,0,0
ราชวินิตบางเขน,1,0,0,0,0,0
ราชวินิตบางแก้วในพระบรมราชูปถัมภ์,1,0,0,0,0,0
ราชวินิตบางแคปานขำ,1,0,0,0,0,0
ราชวินิตมัธยม,1,0,0,0,0,0
ราชวินิตสุวรรณภูมิ,1,0,0,0,0,0
ราชสีมาวิทยาลัย,0,0,0,1,0,0
ราชินีบูรณะ,1,0,0,0,0,0
ราชโบริกานุเคราะห์,0,0,0,0,0,1
ราษฎร์นิยม,1,0,0,0,0,0
ร่มเกล้า,0,0,0,1,0,0
ร่มเกล้าบุรีรัมย์,0,0,0,1,0,0
ร่มเกล้าวัฒนานครสระแก้วรัชมังคลาภิเษก,0,1,0,0,0,0
ร่องคำ,0,0,0,1,0,0
ร่อนพิบูลย์เกียรติวสุนธราภิวัฒก์,0,0,0,0,1,0
ร้องกวางอนุสรณ์,0,0,1,0,0,0
ร้อยเอ็ดวิทยาลัย,0,0,0,1,0,0
ฤทธิณรงค์รอน,1,0,0,0,0,0
ฤทธิยะวรรณาลัย,1,0,0,0,0,0
ลองวิทยา,0,0,1,0,0,0
ละหานทรายรัชดาภิเษก,0,0,0,1,0,0
ละอุ่นวิทยาคาร,0,0,0,0,1,0
ละแมวิทยา,0,0,0,0,1,0
ลาดปลาเค้าพิทยาคม,1,0,0,0,0,0
ลำปลายมาศ,0,0,0,1,0,0
ลำปางกัลยาณี,0,0,1,0,0,0
ลือคำหาญวารินชำราบ,0,0,0,1,0,0
ลืออำนาจวิทยาคม,0,0,0,1,0,0
วชิรธรรมสาธิต,1,0,0,0,0,0
วชิรปราการวิทยาคม,1,0,0,0,0,0
วรคุณอุปถัมภ์,0,0,0,1,0,0
วรนารีเฉลิมจังหวัดสงขลา,0,0,0,0,1,0
วรราชาทินัดดามาตุวิทยา,1,0,0,0,0,0
วังจันทร์วิทยา,0,1,0,0,0,0
วังน้ำเย็นวิทยาคม,0,1,0,0,0,0
วังวิเศษ,0,0,0,0,1,0
วังสมบูรณ์วิทยาคม,0,1,0,0,0,0
วังหว้าราษฎร์สามัคคี,1,0,0,0,0,0
วังโพนงามวิทยา,0,0,0,1,0,0
วังไทรวิทยาคม,1,0,0,0,0,0
วัชรวิทยา,1,0,0,0,0,0
วัฒโนทัยพายัพ,0,0,1,0,0,0
วัดทรงธรรม,1,0,0,0,0,0
วัดนวลนรดิศ,1,0,0,0,0,0
วัดน้อยนพคุณ,1,0,0,0,0,0
วัดบวรนิเวศ,1,0,0,0,0,0
วัดป่าประดู่,0,1,0,0,0,0
วัดพุทธบูชา,1,0,0,0,0,0
วัดรางบัว,1,0,0,0,0,0
วัดราชบพิธ,1,0,0,0,0,0
วัดราชาธิวาส,1,0,0,0,0,0
วัดราชโอรส,1,0,0,0,0,0
วัดสระเกศ,1,0,0,0,0,0
วัดสังเวช,1,0,0,0,0,0
วัดสิงห์,1,0,0,0,0,0
วัดสุทธิวราราม,1,0,0,0,0,0
วัดห้วยจรเข้วิทยาคม,1,0,0,0,0,0
วัดอินทาราม,1,0,0,0,0,0
วัดเขมาภิรตาราม,1,0,0,0,0,0
วัดโสธรวรารามวรวิหาร,0,1,0,0,0,0
วัดไร่ขิงวิทยา,1,0,0,0,0,0
วาปีปทุม,0,0,0,1,0,0
วิจิตราพิทยา,0,0,0,1,0,0
วิทยานุกูลนารี,1,0,0,0,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยลพบุรี,1,0,0,0,0,0
วิทยาศาสตร์จุฬาภรณราชวิทยาลัยเลย,0,0,0,1,0,0
วิสุทธรังษี,0,0,0,0,0,1
วิเชียรกลิ่นสุคนธ์อุปถัมภ์,1,0,0,0,0,0
วิเชียรมาตุ,0,0,0,0,1,0
วิเศษไชยชาญ(ตันติวิทยาภูมิ),1,0,0,0,0,0
วีรวัฒน์โยธิน,0,0,0,1,0,0
ศรัทธาสมุทร,1,0,0,0,0,0
ศรีกระนวนวิทยาคม,0,0,0,1,0,0
ศรีธวัชวิทยาลัย,0,0,0,1,0,0
ศรีธาตุพิทยาคม,0,0,0,1,0,0
ศรีนคร,1,0,0,0,0,0
ศรีบรรพตพิทยาคม,0,0,0,0,1,0
ศรีบุญเรืองวิทยาคาร,0,0,0,1,0,0
ศรีบุณยานนท์,1,0,0,0,0,0
ศรีพฤฒา,1,0,0,0,0,0
ศรียานุสรณ์,0,1,0,0,0,0
ศรียาภัย,0,0,0,0,1,0
ศรีรัตนวิทยา,0,0,0,1,0,0
ศรีราชา,0,1,0,0,0,0
ศรีวิชัยวิทยา,1,0,0,0,0,0
ศรีวิไลวิทยา,0,0,0,1,0,0
ศรีสงครามวิทยา,0,0,0,1,0,0
ศรีสมเด็จพิมพ์พัฒนาวิทยา,0,0,0,1,0,0
ศรีสะเกษวิทยาลัย,0,0,0,1,0,0
ศรีสำโรงชนูปถัมภ์,1,0,0,0,0,0
ศรีอยุธยาในพระอุปถัมภ์ฯ,1,0,0,0,0,0
ศรีเทพประชาสรรค์,1,0,0,0,0,0
ศรีเมืองวิทยาคาร,0,0,0,1,0,0
ศีขรภูมิพิสัย,0,0,0,1,0,0
ศีลาจารพิพัฒน์,1,0,0,0,0,0
ศึกษานารี,1,0,0,0,0,0
ศึกษานารีวิทยา,1,0,0,0,0,0
สกลราชวิทยานุกูล,0,0,0,1,0,0
สงวนหญิง,1,0,0,0,0,0
สตรีชัยภูมิ,0,0,0,1,0,0
