จบจากโรงเรียน,No_computer,working,not_working,no_boy,no_girl,total_student,no_classroom,total_teacher,total_teacher_rank1,total_teacher_rank2,total_teacher_rank3,total_teacher_rank4,total_teacher_rank5
หัวไผ่วิทยาคม,18,14,4,36,32,68,6,8,3,1,4,0,0
บางระจันวิทยา,170,170,0,498,506,1004,28,44,18,11,15,0,0
ค่ายบางระจันวิทยาคม,101,101,0,142,172,314,15,14,6,3,5,0,0
พรหมบุรีรัชดาภิเษก,33,33,7,69,74,143,9,6,1,3,2,0,0
อินทร์บุรี,183,168,15,568,757,1325,39,58,28,14,16,0,0
สิงห์บุรี,350,350,0,1102,1719,2821,75,115,46,36,33,0,0
ศรีศักดิ์สุวรรณวิทยา,30,30,0,123,119,242,12,11,4,7,0,0,0
บ้านแป้งวิทยา,30,30,0,36,23,59,6,8,6,0,2,0,0
ทองเอนวิทยา,39,39,0,61,46,107,8,7,2,2,3,0,0
สิงหพาหุ(ประสานมิตรอุปถัมภ์),62,62,0,144,172,316,14,13,6,5,2,0,0
ศรีวินิตวิทยาคม,60,60,0,81,56,137,6,5,4,1,0,0,0
ชัยนาทพิทยาคม,270,270,0,1069,1689,2758,71,126,54,32,40,0,0
อุลิตไพบูลย์ชนูปถัมภ์,155,155,0,336,332,668,22,32,14,12,6,0,0
สาครพิทยาคม,42,21,21,203,197,400,13,16,6,3,7,0,0
วัดสิงห์,140,90,50,316,390,706,25,35,15,7,13,0,0
สรรพยาวิทยา,50,50,0,256,284,540,24,21,8,8,5,0,0
บุญนาคพิทยาคม,14,11,3,48,21,69,6,11,1,3,7,0,0
ชยานุกิจพิทยาคม,36,15,21,53,48,101,6,9,4,0,5,0,0
คุรุประชาสรรค์,272,272,0,684,827,1511,44,51,9,14,27,1,0
ห้วยกรดวิทยา,65,65,0,181,142,323,15,18,8,4,6,0,0
หันคาราษฎร์รังสฤษดิ์,0,46,68,151,198,349,12,15,9,1,5,0,0
หันคาพิทยาคม,225,130,93,727,955,1682,48,70,38,11,21,0,0
ศรีสโมสรวิทยา,45,45,0,122,136,258,12,13,5,2,6,0,0
เนินขามรัฐประชานุเคราะห์,30,22,9,111,124,235,9,13,2,2,9,0,0
สมุทรปราการ,399,399,0,1462,1951,3413,85,111,34,42,35,0,0
สตรีสมุทรปราการ,623,623,0,958,1701,2659,69,98,48,26,24,0,0
มัธยมวัดด่านสำโรง,228,228,0,825,856,1681,48,64,25,19,20,0,0
เทพศิรินทร์สมุทรปราการ,472,472,0,1278,1324,2602,67,73,31,22,20,0,0
หาดอมราอักษรลักษณ์วิทยา,324,219,105,602,598,1200,40,36,14,18,4,0,0
นวมินทราชินูทิศสวนกุหลาบวิทยาลัยสมุทรปราการ,290,290,0,1173,1478,2651,72,70,21,32,17,0,0
มัธยมวัดศรีจันทร์ประดิษฐ์ในพระบรมราชานุเคราะห์,115,91,24,442,493,935,29,23,13,8,2,0,0
วัดทรงธรรม,223,223,0,1028,1067,2095,54,82,32,31,19,0,0
ราชประชาสมาสัยฝ่ายมัธยมรัชดาภิเษกในพระบรมราชูปถัมภ์,299,299,0,1375,1665,3040,76,96,43,17,36,0,0
เตรียมอุดมศึกษาน้อมเกล้าสมุทรปราการ,175,120,55,1308,1413,2721,69,113,73,29,11,0,0
วิสุทธิกษัตรีจ.สมุทรปราการ,237,237,0,248,1545,1793,54,70,51,6,13,0,0
สาขลาสุทธีราอุปถัมภ์,44,44,0,37,26,63,5,4,0,0,4,0,0
ป้อมนาคราชสวาทยานนท์,208,208,0,941,854,1795,60,55,20,20,15,0,0
มัธยมวัดใหม่สมุทรกิจวิทยาคม,80,45,35,123,85,208,9,7,5,1,1,0,0
ปทุมคงคาสมุทรปราการ,220,200,20,1150,1002,2152,50,50,37,11,2,0,0
ราชวินิตสุวรรณภูมิ,100,55,45,268,245,513,22,29,22,5,2,0,0
บางบ่อวิทยาคม,274,274,0,1136,1595,2731,68,93,43,25,25,0,0
เปร็งวิสุทธาธิบดี,57,44,13,129,96,225,12,10,4,5,1,0,0
หลวงพ่อปานคลองด่านอนุสรณ์,198,198,0,604,561,1165,35,58,22,27,9,0,0
นวมินทราชินูทิศเตรียมอุดมศึกษาพัฒนาการ,370,305,35,1114,1442,2556,68,92,48,23,21,0,0
บางพลีราษฎร์บำรุง,340,340,0,1490,1866,3356,80,120,77,22,21,0,0
พูลเจริญวิทยาคม,241,200,41,1271,1489,2760,72,68,21,45,2,0,0
ราชวินิตบางแก้ว ในพระบรมราชูปถัมภ์,445,375,70,1496,1761,3257,88,150,88,35,27,0,0
บางแก้วประชาสรรค์,156,139,20,623,536,1159,40,38,17,7,14,0,0
บดินทรเดชา(สิงห์สิงหเสนี)สมุทรปราการ,255,255,0,931,989,1920,54,64,28,19,17,0,0
เบญจมราชรังสฤษฎิ์,751,602,149,1677,1908,3585,91,157,42,53,61,1,0
